id,post_id,date,from_id,text
8273,8272,1683361875,32705382,"Александра Анатольевна, с днем рождения!🎉"
8274,8272,1683361882,267959653,Поздравляем!!! 🎂🎉🎁
8275,8272,1683363025,4819577,Поздравляем от души!!!
8276,8272,1683366449,40025375,"Наилучшие пожелания в День Рождения, Александра Анатольевна! 🌹🌹🌹"
8277,8272,1683368829,2588357,С днём рождения!
8278,8272,1683398656,1495876,"Александра Анатольевна, поздравляю с днём рождения! Крепкого здоровья и хорошего настроения!"
8279,8272,1683491317,330698335,"Александра Анатольевна, с Днем Рождения!⚘"
